"City_locality","iso3","country","super_region","super_region_name","pm25","sat_2014","log_pm25","log_sat","cluster_region"
"NIORT","FRA","France",1,"HighIncome",10.5,11.6719942092896,2.35137525716348,2.45719231510055,2
"Nir Galim","ISR","Israel",1,"HighIncome",19,35.0355072021484,2.94443897916644,3.55636203873065,2
"Nir Israel","ISR","Israel",1,"HighIncome",20,34.4765014648438,2.99573227355399,3.54027797501072,2
"NIS","SRB","Serbia",4,"E-Eur/C-Eur/C-Asia",19,21.2609939575195,2.94443897916644,3.05687412429128,2
"NISKO","POL","Poland",4,"E-Eur/C-Eur/C-Asia",26,20.7204971313477,3.25809653802148,3.03112340992912,4
"NITRA","SVK","Slovakia",4,"E-Eur/C-Eur/C-Asia",18,21.1809978485107,2.89037175789616,3.05310445183548,2
"Nnewi","NGA","Nigeria",7,"Sub-Saharan Afr",24,51.2724990844727,3.17805383034795,3.93715452820964,4
"NOEUX-LES-MINES","FRA","France",1,"HighIncome",10.5,15.9494972229004,2.35137525716348,2.76942730665881,2
"Nogales, AZ","USA","United States of America",1,"HighIncome",10,3.76900053024292,2.30258509299405,1.32680985497029,2
"NOGENT-SUR-MARNE","FRA","France",1,"HighIncome",13,16.3179950714111,2.56494935746154,2.79226849097268,2
"NOGENT-SUR-OISE","FRA","France",1,"HighIncome",15,15.5975027084351,2.70805020110221,2.74711081864825,2
"NOIA","ESP","Spain",1,"HighIncome",4,8.38649940490723,1.38629436111989,2.12662319919425,2
"Noida","IND","India",3,"S-Asia",72.5,86.2620010375977,4.28358656186063,4.45738918869695,3
"Nonthaburi","THA","Thailand",6,"SE-Asia/E-Asia/Oceania",25.5,39.4627571105957,3.23867845216438,3.67535736917732,4
"NORDHAUSEN","DEU","Germany",1,"HighIncome",13,17.8440017700195,2.56494935746154,2.88166741646011,2
"NORMAN WELLS","CAN","Canada",1,"HighIncome",3,5.92250108718872,1.09861228866811,1.77875884062001,2
"Norrk_ping","SWE","Sweden",1,"HighIncome",6,12.2424983978271,1.79175946922805,2.50491337372458,2
"NORTH BAY","CAN","Canada",1,"HighIncome",5,4.66599988937378,1.6094379124341,1.54030214989023,2
"NORTH VANCOUVER","CAN","Canada",1,"HighIncome",5.5,3.90650033950806,1.70474809223843,1.36264191936316,2
"Northern St. Catherine","JAM","Jamaica",5,"LatAm/Carib",13,6.67083326975505,2.56494935746154,1.89774478012394,2
"NORWICH","GBR","United Kingdom",1,"HighIncome",13,14.0784997940063,2.56494935746154,2.64464879633204,2
"Norwich-New London, CT","USA","United States of America",1,"HighIncome",8,7.82849979400635,2.07944154167984,2.05777089445614,2
"Not in a City,Burke,ND","USA","United States of America",1,"HighIncome",4,4.42000007629395,1.38629436111989,1.48613971335068,2
"Not in a City,Carter,KY","USA","United States of America",1,"HighIncome",8,7.04900074005127,2.07944154167984,1.95288586777844,2
"Not in a City,Caswell,NC","USA","United States of America",1,"HighIncome",10,6.9150013923645,2.30258509299405,1.93369316647093,2
"Not in a City,Cedar,MO","USA","United States of America",1,"HighIncome",8,7.08000135421753,2.07944154167984,1.95727409897927,2
"Not in a City,Chesterfield,SC","USA","United States of America",1,"HighIncome",9,7.7189998626709,2.19722457733622,2.04368480417667,2
"Not in a City,Converse,WY","USA","United States of America",1,"HighIncome",2,4.14450025558472,0.693147180559945,1.42178221571785,2
"Not in a City,Custer,SD","USA","United States of America",1,"HighIncome",2,4.13200092315674,0.693147180559945,1.41876177467381,2
