"","epl_data.home_team","epl_data.away_team","epl_data.home_goals","epl_data.away_goals","epl_data.score_diff","epl_data.home_week","epl_data.away_week"
"353",10,7,1,1,0,35,36
"354",13,9,4,2,2,36,36
"355",16,8,3,1,2,36,35
"356",4,17,2,2,0,35,36
"357",2,11,0,0,0,37,37
"358",3,19,1,1,0,37,37
"359",5,14,2,1,1,37,37
"360",7,6,3,1,2,37,36
"361",12,10,0,1,-1,36,36
"362",15,4,3,2,1,36,36
"363",20,16,1,4,-3,36,37
"364",8,18,2,0,2,36,36
"365",9,1,2,2,0,37,37
"366",17,13,1,2,-1,37,37
"367",20,10,3,2,1,37,37
"368",8,4,1,1,0,37,37
"369",12,18,4,2,2,37,37
"370",15,6,3,0,3,37,37
"371",1,2,4,0,4,38,38
"372",4,7,1,1,0,38,38
"373",6,12,3,0,3,38,38
"374",11,17,5,1,4,38,38
"375",13,5,4,1,3,38,38
"376",14,20,2,1,1,38,38
"377",16,9,1,1,0,38,38
"378",18,15,2,2,0,38,38
"379",19,8,1,1,0,38,38
"380",10,3,3,1,2,38,38
