y,lagy,prvwinpty,deminc,repinc,year
61.3401472894789,53.440928636162006,1,1,0,2
46.6454559065728,61.3401472894789,1,0,0,3
62.004147359831,48.8728552449331,-1,0,0,5
56.7621110465423,62.004147359831,1,1,0,6
55.7058666681178,56.7621110465423,1,1,0,7
64.209318307679,55.7058666681178,1,1,0,8
45.6131822019804,64.209318307679,1,0,0,9
28.6307104069392,45.6131822019804,-1,0,1,10
20.3114261774979,28.6307104069392,-1,0,1,11
44.5634495366576,20.3114261774979,-1,0,0,12
21.4907847299437,44.5634495366576,-1,0,1,13
22.6702844311377,22.9835719982526,-1,0,1,16
33.7903592992181,22.6702844311377,-1,0,1,17
48.971497094364004,33.7903592992181,-1,0,1,18
46.0897810784721,48.971497094364004,-1,0,1,19
39.3524695008734,39.463303939933894,-1,0,1,1
